,duration,reward
0,32,-747.1932678653684
1,12,-577.6590667893382
2,50,-799.4967163621384
3,7,-546.7103031599412
4,10,-558.836933586899
5,27,-685.6025735878268
6,3,-518.1611427212
7,1,-506.12454989855615
8,2,-512.6672820451049
9,27,-643.2405145484963
10,2,-511.3124102174547
11,2,-511.31358542936823
12,15,-569.8482031264438
13,24,-626.2960615900176
14,29,-686.7808646582506
15,17,-604.5279233471889
16,23,-632.5869787753073
17,1,-506.12436342111465
18,9,-547.965273106379
19,29,-651.5848289676619
20,3,-518.65366073956
21,4,-523.7478679227625
22,62,-705.9602691591391
23,2,-512.9799914065954
24,1,-506.12107494155515
25,12,-568.2886927204232
26,1,-506.1259353840569
27,11,-577.1131492324666
28,12,-572.9974973693979
29,2,-512.6688545827107
30,5,-528.6075050519953
31,18,-617.2305658636858
32,6,-538.2729873774338
33,20,-604.0481602275706
34,5,-527.9251469509102
35,37,-742.5848953266907
36,34,-615.5688245823416
37,67,-807.7343026980616
38,67,-804.2366008567099
39,4,-526.8275475210244
40,15,-576.9584441112356
41,4,-527.0202150229119
42,2,-512.6629224202677
43,4,-521.6078807605492
44,1,-506.12605511784557
45,13,-580.9229457538873
46,34,-676.6695216876345
47,25,-664.4843581794055
48,1,-506.12268180054554
49,53,-745.8376614129503
50,99,-329.86551716425413
51,1,-506.1245251418569
52,2,-512.97283322361
53,3,-517.4698518236451
54,81,-938.0213915180069
55,3,-516.0265198018114
56,1,-506.1268360482954
57,87,-889.3851057793443
58,99,-620.7575555579965
59,31,-671.6105086967721
60,4,-521.6375421310738
61,24,-640.246488165756
62,1,-506.1245700800113
63,2,-512.972829451658
64,78,-935.0711876611629
65,8,-548.3218043620453
66,82,-1080.7428586026726
67,21,-620.9318085234072
68,6,-538.0154277156703
69,24,-641.2242830867799
70,1,-506.12583773329544
71,9,-562.7807686166561
72,36,-727.40833015194
73,13,-551.9699895113673
74,3,-517.7246417262083
75,1,-506.12346813035543
76,47,-689.6999606434425
77,1,-506.1274420993128
78,19,-598.7391494367671
79,2,-511.6523081178972
80,2,-511.3116297651925
81,1,-506.1260513082852
82,9,-556.8462922937251
83,3,-516.0199288749286
84,1,-506.1268424652367
85,16,-591.0690018383153
86,1,-506.12454106807127
87,39,-796.9922683705072
88,99,-486.7621473256652
89,8,-545.07682218603
90,48,-737.0316691626181
91,1,-506.1260403993284
92,3,-517.8875038000301
93,8,-549.34040510674
94,99,-466.77165585712095
95,5,-526.888717229763
96,7,-543.7367771567122
97,3,-518.2874992494505
98,99,-498.47379764431054
99,37,-723.4080779397303
100,4,-522.3289940396452
101,11,-564.5081981722478
102,23,-606.003054953349
103,26,-637.006015450121
104,12,-562.8815440688658
105,2,-512.9770495243897
106,5,-531.1796564446067
107,20,-599.759756882234
108,40,-739.4384775666792
109,1,-506.12714583727006
110,36,-715.4616598714915
111,7,-538.5243148278098
112,8,-548.0316395215168
113,1,-506.1248970988355
114,1,-506.123473752891
115,17,-615.2274619039612
116,15,-579.5376354591118
117,3,-518.1651617091352
118,4,-525.2567812387153
119,1,-506.12109375659907
120,6,-541.000009692762
121,50,-756.6895213837469
122,1,-506.12444338668524
123,2,-511.3085991285306
124,4,-523.8618047362627
125,1,-506.124923965425
126,6,-535.2735129127954
127,11,-558.5984201516266
128,22,-628.7298328146198
129,99,-591.5321604452727
130,3,-517.4885781587694
131,1,-506.1245321456586
132,17,-592.6755919635743
133,14,-567.7438530861319
134,7,-540.7726843605802
135,29,-675.3841665617125
136,1,-506.12526972743495
137,9,-555.4275997663469
138,38,-725.756361157633
139,10,-568.1967867275457
140,4,-521.6171657784728
141,8,-548.5587019177885
142,2,-512.6626935943083
143,4,-523.4613838374853
144,6,-532.3439625518985
145,36,-720.3788934724587
146,3,-516.3871460090278
147,20,-623.9946768185953
148,2,-511.3118041773303
149,2,-511.3135887467046
150,2,-511.31357117027994
151,4,-524.8502494711474
152,1,-506.12492421074273
153,3,-518.5578315806022
154,4,-522.7175583768372
155,2,-512.9769751905227
156,18,-582.7438721378212
157,27,-647.5058414905409
158,19,-583.6051635788467
159,7,-542.7691696781717
