,duration,reward
0,12,-574.7556122924448
1,11,-565.2488245328216
2,21,-634.6155940662904
3,7,-546.7488890924672
4,16,-599.3641798270777
5,26,-690.8435272902972
6,1,-505.9266143511439
7,1,-506.27664392732584
8,33,-745.1479181565917
9,44,-849.1153876455393
10,10,-561.1156616110665
11,9,-553.846203816822
12,7,-544.7366835088156
13,18,-615.9625645808155
14,24,-628.4009834890637
15,21,-599.3110999137624
16,33,-744.3922227493744
17,11,-564.9406730416168
18,35,-767.8925737410752
19,2,-512.0754874324032
20,8,-548.882329401379
21,1,-505.9677754010672
22,11,-579.1681589929439
23,4,-525.1099367625751
24,1,-505.9658471807515
25,6,-539.7897025867115
26,3,-517.7132576316947
27,4,-526.8178110774433
28,11,-573.4250295127277
29,2,-512.9594663250745
30,4,-525.2529184946692
31,14,-600.9672822027694
32,53,-853.6031497284994
33,24,-659.2561987658283
34,34,-687.6739104199763
35,22,-648.4924671570247
36,25,-650.8372083947461
37,1,-505.9670624600158
38,39,-729.3087792372794
39,20,-614.6206534863961
40,8,-556.7828855254108
41,1,-505.9662092051808
42,22,-659.6814683726428
43,8,-557.7461684920243
44,4,-524.2931146180767
45,1,-505.96539495433643
46,4,-527.4331513145971
47,8,-549.9857176484082
48,36,-705.3187819526307
49,1,-506.12537595825484
50,4,-522.8937127534093
51,3,-518.9544889397832
52,24,-660.0054347974851
53,34,-773.2553063798123
54,6,-535.4434582164001
55,20,-630.0396223991022
56,84,-907.5089517533897
57,24,-635.4130817808762
58,20,-606.5246158446246
59,26,-671.0647390957276
60,26,-657.1457315837833
61,3,-519.5291190658608
62,17,-582.026137346178
63,29,-685.8952841902585
64,53,-791.8096359478297
65,7,-537.0500136232521
66,4,-524.8773913609083
67,4,-527.3161939301472
68,27,-648.2045136814975
69,17,-604.4382413240345
70,13,-586.8815105423582
71,14,-587.2954309500085
72,51,-907.3021295854437
73,13,-583.0980941520977
74,2,-512.8384830898
75,15,-602.4922013923515
76,10,-561.7396528577582
77,24,-670.9128005288474
78,1,-505.9686320216562
79,34,-693.1320370889489
80,42,-782.5140880696766
