rr,x,y,z,x_final,y_final,z_final,origin,final,x_move,y_move,z_move,done
11,0.19684211774259805,0.036721280664715694,0.5295757210639865,0.194969144700384,0.031603022013424034,0.5302570802946877,8.037677343327164,0.6590423922722827,19,51,7,False
11,0.1969818078863093,0.03668098821784538,0.5295979123762637,0.19484764510572009,0.031583056149023306,0.5301145418114578,8.114883727890904,0.8047569337987642,21,51,5,False
11,0.1967823960019537,0.03668080310015592,0.5297953088457655,0.19476804349121093,0.03155601274011938,0.5304991598853623,7.717890256344062,0.5267838833072913,20,51,7,False
11,0.19680704975940047,0.03668099234983152,0.529788466705341,0.19479429986397545,0.03150742672567371,0.5302401493765897,7.749575403890985,0.8081240337610845,20,52,5,False
11,0.19679735390591402,0.036680253901922144,0.5296913232482464,0.1948989150386653,0.031745249541771894,0.5305149591050675,7.836284559589707,0.19087631449522802,19,49,8,True
11,0.19677386146838688,0.03668207445970556,0.5297024084564339,0.1948725923535292,0.031583626722712824,0.5301398602005325,7.803527471658494,0.7539207232254291,19,51,4,False
11,0.19678356799566465,0.036680842161713134,0.5295966561380372,0.19491906644834733,0.031566474578989825,0.5304245063252527,7.917754019340556,0.4780855441047366,19,51,8,False
11,0.1969812449199298,0.03668070245871902,0.529698489817769,0.1948255268193076,0.03158321048162473,0.5303734074868421,8.013457560879761,0.5678552122254793,22,51,7,False
11,0.1970044592529098,0.03670060049559137,0.5296895817737157,0.19476367249733192,0.031492603400207764,0.5301927120306615,8.065477974785406,0.9010120717987125,22,52,5,False
11,0.19688079266792025,0.036680497067081486,0.5297963686244275,0.1948268890394223,0.031557804324156113,0.5302612112663331,7.814921110574219,0.7040953700884478,21,51,5,False
11,0.19698082117460894,0.03668101531399143,0.5295975320063601,0.19486099836358634,0.031700393070485014,0.5306281019550876,8.114304482240264,0.16050661084100748,21,50,10,True
11,0.19678246972008986,0.03668174091110249,0.5296999729765747,0.1948314581367936,0.03155865484782561,0.5303622312871298,7.8142376546176395,0.597655728250962,20,51,7,False
11,0.1969807338009065,0.03668103031819553,0.5295985836808462,0.194850785340887,0.031657999503887216,0.530339410279482,8.113180438255764,0.5018048757437638,21,50,7,False
11,0.19700390218148178,0.03668140051567448,0.5295899655382016,0.19493882516181338,0.03155853803834818,0.5304936175586349,8.145337158954629,0.43666956483026653,21,51,9,False
