,duration,reward
0,12,-596.804435597864
1,11,-565.2488242264558
2,21,-564.8815128649208
3,7,-546.7488894101455
4,16,-599.3641773564773
5,26,-690.8435308861328
6,1,-505.926614335068
7,1,-506.2766439302001
8,33,-816.2517764939062
9,44,-760.9397225203702
10,5,-512.5932728758718
11,2,-512.6657581799814
12,42,-657.6956629516808
13,8,-535.1076520143921
14,69,-864.1492961534334
15,17,-595.9196304034482
16,30,-729.6800807378613
17,12,-574.8655362070137
18,2,-506.51040681734935
19,59,-747.1978038721834
20,12,-576.1052334319654
21,16,-612.5738595816013
22,26,-636.5666005958915
23,3,-518.9708393769757
24,1,-506.3937910891196
25,2,-505.15428128654924
26,81,-1021.1368316881518
27,99,-1052.6433988093845
28,31,-727.7393095873692
29,11,-575.9800186957532
30,11,-571.1038994618172
31,4,-516.9273799361497
32,7,-529.4314556700402
33,3,-523.7592657823242
34,41,-803.1432493623932
35,27,-686.4004069920106
36,44,-663.2428961156672
37,1,-505.9651789858772
38,4,-512.9543208626045
39,6,-534.8534968883598
40,8,-526.5939004567495
41,1,-505.96952032309656
42,2,-505.1542995727582
43,39,-656.9462839690299
44,3,-512.3511915021129
45,3,-519.0946954512334
46,23,-668.6004010714371
47,45,-760.2288099132984
48,2,-512.8668402219138
49,1,-507.5936529060258
50,2,-505.15426292782274
51,68,-981.6163060267986
52,2,-512.8655748494828
53,78,-1276.1605976851702
54,99,-671.1525933674859
55,8,-551.6411770579751
56,6,-539.7346712277287
57,4,-517.7718331583144
58,7,-538.98076827459
59,30,-661.8567613728425
60,6,-529.3176202676442
61,4,-525.4422483203504
62,16,-629.8033370396979
63,5,-529.9953678243763
64,34,-788.1319959767632
65,46,-847.2453155483188
66,14,-586.9291469657757
67,96,-779.6050614764911
68,47,-924.7424228457863
69,9,-554.3949900160388
70,4,-519.6289599595112
71,6,-540.8287608612751
72,8,-558.7893250075749
73,4,-533.9754754501007
74,14,-601.368702464971
75,3,-519.4660886896139
76,5,-530.6535635051999
77,2,-512.9728599925797
78,1,-505.9716615761957
79,7,-519.0831661507669
80,8,-558.5876415431491
81,99,-918.5667407618934
82,1,-506.39423017029844
83,1,-507.5926280707544
84,28,-650.8934177003126
85,26,-711.0549041592628
86,10,-573.9853303461546
87,16,-610.2631014172503
88,1,-506.12596435913457
89,2,-506.51691666977456
90,2,-511.7199454943439
91,2,-511.30398511899136
92,11,-558.9243191187834
93,11,-556.7029066397498
94,8,-534.8337970016677
95,20,-624.5291166066007
96,24,-662.5823096956254
97,3,-517.8992807628586
98,10,-544.4368895955967
99,8,-552.9470100326304
100,1,-505.9278419591496
101,2,-511.6454126335431
102,32,-717.1301084824412
103,3,-522.1948854076439
104,6,-529.6205113557298
105,4,-522.6172172828593
106,1,-506.39146509577057
107,10,-568.8950219879164
108,2,-509.5642714725171
109,16,-604.5974435575517
110,1,-502.87537928728796
111,12,-584.6177913491422
112,10,-571.9865240756009
113,1,-505.9279388081931
