,duration,reward
0,12,-596.8044269327247
1,11,-565.2488241338841
2,21,-564.8815238986864
3,7,-546.7488887544695
4,16,-599.3641794516817
5,26,-690.8435301480047
6,1,-505.92661433321655
7,1,-506.2766439261619
8,33,-816.2517984661883
9,44,-760.9397209589313
10,5,-512.5932729098714
11,2,-512.6657581799859
12,42,-657.6956433199387
13,8,-535.1076499507236
14,69,-864.1508166682418
15,17,-595.9196367460888
16,30,-729.6800898059984
17,12,-574.865537967683
18,2,-506.51040651918345
19,59,-747.1978349356559
20,12,-576.1052339609508
21,16,-612.5738587858363
22,26,-636.5666001408597
23,3,-518.9708394833729
24,1,-506.3937910889112
25,2,-505.1542811459759
26,99,-663.1743530488734
27,5,-530.8611977427589
28,3,-517.8308623867009
29,3,-519.2480014110092
30,16,-609.8122194451852
31,2,-508.66989409347667
32,20,-572.351107404495
33,58,-1074.1209912953404
34,5,-534.599126249436
35,28,-716.3102146618315
36,23,-599.8769992498026
37,1,-505.9665154394786
38,10,-543.5945791253761
39,8,-547.1434138943341
40,20,-585.4323122633832
41,1,-505.96862988309516
42,9,-533.4909728141697
43,5,-515.4445114475304
44,14,-570.9251159892239
45,6,-541.7783523240781
46,9,-558.4389710473125
47,4,-523.1851460457116
48,29,-731.2255560497586
49,1,-507.59167676017245
50,3,-508.54628516611336
51,7,-513.9953195754192
52,39,-715.917199034782
53,3,-519.7144327509492
54,2,-515.9406496939712
55,43,-767.1706428659293
56,19,-624.9682253493659
57,22,-584.4366942426358
58,31,-698.5226703703381
59,5,-530.4226312843292
60,24,-626.6519128817595
61,4,-526.7299911496349
62,30,-737.7816801192803
63,25,-661.7421069836427
64,8,-547.8365969912496
65,13,-591.0579817594937
66,6,-537.162471461896
67,2,-508.6695256304839
68,7,-555.6237998915705
69,16,-610.1135403076983
70,3,-513.571657977038
71,32,-729.5382740670401
72,16,-607.46120082638
73,24,-717.0672358405618
74,2,-512.833628934452
75,23,-669.3127577003615
76,25,-697.572154331185
77,15,-597.7659353648826
78,1,-505.96799423225207
79,20,-570.0903371463978
80,16,-609.7344301258479
81,19,-626.6578734124453
82,1,-506.39531749951954
83,1,-507.5926071192092
84,3,-518.6475927181333
85,87,-496.01266578805667
86,46,-891.6019963309366
87,3,-519.5293034870767
88,1,-506.12347323687726
89,19,-562.4906086049514
90,20,-621.5583147245233
91,2,-511.3058064704094
92,10,-546.6062203570565
93,6,-534.5038726610038
94,7,-530.3530235673016
95,10,-567.9055408928825
96,66,-811.7013015345697
97,2,-511.7457810675279
98,3,-512.0088320970339
99,6,-538.9545289484286
100,1,-505.9263263365718
101,15,-584.5284831038052
102,72,-899.9780173445812
103,3,-522.7232126993254
104,3,-513.3233790568041
105,8,-549.6137067388416
106,1,-506.3967822146102
107,41,-794.20193538734
108,25,-648.8956537030663
109,4,-520.6313637255989
110,1,-502.8800357237356
111,2,-512.9606951496507
112,33,-728.0479074011427
113,1,-505.92777578929434
114,55,-761.716020798796
115,14,-611.9992549143456
116,14,-566.476845287361
117,3,-518.1599885271452
118,8,-567.0492380141836
119,1,-507.59043511529
120,2,-512.6238858943562
121,25,-693.3074098055591
122,4,-523.7922242205829
123,4,-517.0313348512158
124,4,-527.378194790211
125,17,-594.0664950110124
126,3,-519.1061688075246
127,3,-519.2471862292492
128,42,-837.2634023323401
129,39,-755.7423118672315
130,1,-502.8760900781532
131,47,-680.1622957713973
132,5,-514.4986126466533
133,78,-991.5453410033775
134,33,-702.344495692927
135,72,-1135.896201249251
136,1,-502.8744531270866
137,8,-548.1243352146948
138,4,-512.4675508062304
139,7,-537.7496667562103
140,5,-533.1045804094928
141,1,-506.27605134947135
142,12,-574.1667024728104
143,34,-616.107804456452
144,1,-506.27597932920764
145,7,-540.1146608076452
146,37,-673.6808517563088
147,1,-502.8742388817024
148,1,-506.1234986412052
149,17,-612.4135307334773
150,1,-504.21593976260857
151,3,-520.8969508230781
152,89,-729.1068128089921
153,8,-550.488880968418
154,99,-969.8929878291741
155,63,-850.279708908792
156,34,-767.3356745891426
157,2,-516.1775248921994
158,6,-552.1960306291302
159,50,-812.5997284841233
160,22,-634.9289960693529
161,36,-804.6719437292747
162,17,-620.0214351559907
163,9,-555.1191149012215
164,22,-639.4338307135233
165,10,-563.9749224494058
166,2,-514.8767207107168
167,7,-550.4360323510734
168,25,-679.1943413630108
169,64,-968.8056755430032
170,9,-573.6162333100311
171,4,-526.0271042447786
172,21,-620.232763028529
173,31,-624.4641316090009
174,7,-543.6117692143599
175,18,-606.6751401935513
176,1,-507.5908453858826
177,4,-522.9024777243533
178,8,-556.2031851534185
179,2,-512.3070192268564
180,12,-582.9705970794478
181,4,-524.825234434635
182,12,-546.3752636528264
183,34,-773.8474580839255
184,3,-517.9013058636056
185,2,-511.0388929248242
186,2,-511.3319267693446
187,7,-557.3872315112989
188,11,-567.1661223728076
189,12,-569.289513668694
190,10,-571.008640747225
191,2,-512.9776323426839
192,3,-510.672472799565
193,5,-535.1883469213694
194,1,-505.9301540196215
195,1,-505.9289897514343
196,45,-621.6627476120763
197,30,-668.2869637907871
198,1,-504.2162877586215
199,1,-505.9290154572271
200,8,-565.1114066160626
201,30,-708.539495367118
202,12,-558.2113142454799
203,5,-530.4896014714396
204,5,-529.5825323830468
205,67,-831.0389336540213
206,1,-506.39419331254925
207,3,-517.8507688101446
208,1,-506.3937655677361
209,62,-785.4950168983269
210,22,-630.0792825638739
211,26,-635.4864255047701
212,4,-523.8632729264938
213,21,-627.3102477099292
214,42,-783.1658814091522
215,5,-520.6379041992868
216,1,-506.1245368979896
217,1,-506.1234804085976
218,1,-502.8774034926519
219,38,-664.2906877506204
220,17,-551.3684961091706
221,1,-504.2147858025171
222,5,-539.5961592567253
223,9,-555.5051876648655
224,50,-801.0069694733495
225,31,-641.8920338992184
226,5,-521.5227649379481
227,16,-654.0448422809588
228,40,-812.3260257623757
229,29,-613.1861178964459
230,74,-843.2660652819238
231,1,-507.59395948743355
232,13,-545.3593325001196
233,1,-505.96878879964623
234,1,-506.27665482540965
235,13,-547.4812766924091
236,8,-550.7464690948608
237,8,-559.7522933761811
238,4,-521.7197434300309
239,4,-514.9885263389074
240,1,-506.3943129551197
241,1,-506.3937836500131
242,2,-513.3802479991743
243,8,-530.3525967642822
244,1,-506.1267531572702
245,12,-574.1786978544806
246,99,-773.1510518109741
247,3,-513.637478699103
248,1,-502.87743009609505
249,14,-544.5152382715378
250,46,-901.5706336583418
251,4,-522.9645944098525
252,21,-589.0055622631005
253,5,-530.4322183927519
254,10,-555.783038114406
255,1,-505.96537065240045
256,30,-719.2622383017224
257,9,-561.4001276439201
258,69,-1064.5627166675702
259,6,-525.373990881704
260,12,-567.5662801087602
261,10,-578.111709385529
262,5,-532.016111851673
263,3,-519.8914577056993
264,30,-771.0664990130572
265,28,-616.4349785270491
266,1,-502.87564690788633
267,14,-607.0075781811336
